,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
411,国分町１丁目,1,2,2,0,0,2,0,1,2,2,0,1,0,0,0,0,0,0,2,2,1,1,0,3,1,4,2,1,4,1,1,1,1,2,0,2,0,3,1,1,2,3,2,3,2,4,5,4,1,3,7,1,3,3,6,0,2,1,1,2,2,4,2,1,0,3,2,1,3,3,3,2,3,2,1,0,1,1,1,0,1,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
412,国分町２丁目,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,1,1,0,0,2,0,2,0,3,3,0,0,0,3,2,0,1,1,2,2,1,2,2,0,1,1,0,0,2,1,1,1,0,1,0,1,3,0,0,4,2,1,0,2,1,1,2,1,1,0,2,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
413,国分町３丁目,6,5,5,4,4,3,6,4,2,2,4,2,3,3,0,3,6,7,2,1,1,7,7,15,10,12,11,11,8,13,6,7,12,6,10,11,13,14,11,8,9,12,23,11,14,16,13,13,6,22,13,13,13,15,7,9,8,6,7,10,7,10,10,9,7,8,5,9,6,6,9,9,10,6,3,2,1,1,3,0,1,2,1,6,1,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
414,小松島１丁目,4,1,2,1,2,1,1,2,4,2,2,1,1,3,2,2,2,4,1,4,1,4,8,4,7,7,9,7,3,5,7,4,2,7,3,6,1,6,3,6,4,6,2,4,4,0,3,2,4,7,6,5,11,3,4,3,2,1,7,5,9,5,5,5,3,5,1,2,3,2,5,5,2,3,2,1,3,3,3,0,2,1,0,2,3,2,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0
415,小松島２丁目,5,7,5,11,9,10,6,6,8,10,3,8,7,5,5,5,10,5,12,12,9,15,15,6,13,11,13,7,11,15,16,10,12,16,18,16,16,17,10,13,14,15,17,11,11,11,15,12,13,13,8,7,7,8,7,7,7,7,7,9,5,10,14,17,8,3,11,11,7,4,5,14,10,5,6,6,1,2,3,4,1,1,6,1,4,2,2,4,0,1,1,2,0,0,2,0,1,0,0,0,0
416,小松島３丁目,4,3,1,4,6,5,4,1,2,3,2,4,3,4,4,3,5,4,2,3,6,9,7,8,12,6,4,6,7,7,11,6,8,8,5,8,4,8,5,12,14,7,9,8,4,4,8,9,6,8,7,7,6,4,4,10,5,9,2,2,4,4,8,6,7,9,4,6,7,9,4,3,5,7,4,1,6,3,4,2,2,2,4,0,1,3,6,5,1,4,2,2,1,0,0,0,0,1,0,0,0
417,小松島４丁目,6,9,8,10,8,8,8,12,6,6,3,6,4,9,6,4,7,5,8,9,8,11,16,16,17,8,12,15,24,12,11,10,16,11,16,8,17,12,14,19,15,11,13,7,10,8,13,16,14,9,10,11,13,11,10,8,16,13,12,9,9,9,8,11,8,12,6,14,13,12,10,6,10,5,6,4,6,2,2,1,5,4,3,5,1,3,3,1,4,1,1,1,0,4,2,1,1,1,0,0,0
418,小松島新堤,3,0,3,1,1,0,3,2,1,0,3,0,2,1,0,0,2,2,1,1,1,3,0,0,1,2,3,4,0,4,2,3,1,1,4,4,2,1,2,2,2,2,2,3,4,5,3,3,2,4,2,4,3,2,2,1,3,0,4,2,2,3,3,4,5,4,1,3,0,2,4,4,3,2,0,0,2,2,2,2,1,2,2,3,5,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0
419,米ケ袋１丁目,1,3,2,2,2,4,4,6,7,6,2,4,5,2,2,9,6,4,5,8,12,7,7,15,8,15,10,13,10,6,3,8,8,3,3,5,8,9,10,6,10,8,9,12,5,6,11,1,9,8,7,10,7,9,9,9,6,10,10,3,4,4,3,5,6,8,3,3,4,4,3,15,4,2,1,3,2,3,6,3,2,4,3,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
420,米ケ袋２丁目,0,3,2,6,8,5,6,6,4,3,3,4,3,2,3,2,8,5,3,3,4,8,10,20,11,14,12,3,8,13,6,12,6,10,9,7,9,10,10,8,6,7,6,11,10,8,6,7,6,7,9,8,16,6,8,8,9,12,10,5,5,7,9,6,9,4,6,8,7,7,7,7,8,7,6,5,2,3,2,6,4,4,4,3,1,3,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0
421,米ケ袋３丁目,0,2,2,1,1,1,3,2,2,4,3,1,3,2,3,2,2,2,1,5,6,11,3,15,8,10,5,5,4,6,11,6,4,3,3,4,2,3,7,5,4,4,2,0,4,1,3,4,4,11,4,5,8,2,3,5,2,5,2,2,4,3,1,1,6,0,3,5,2,3,2,0,4,2,2,2,2,4,2,4,0,5,0,4,0,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,0
439,郷六,3,9,6,6,6,5,9,5,7,3,4,5,8,8,7,5,3,7,12,7,9,7,11,10,7,6,9,11,12,9,14,9,7,6,10,8,8,11,7,12,10,15,9,9,10,8,14,11,7,12,15,18,13,4,12,7,16,17,15,13,10,22,19,19,16,12,14,14,11,20,12,16,19,13,6,3,7,5,9,9,11,3,6,2,4,4,2,6,4,1,3,2,4,0,1,1,0,0,0,1,0
440,鷺ケ森１丁目,5,6,6,9,7,5,6,2,6,3,3,2,6,6,2,6,6,2,4,6,4,3,4,8,7,8,10,9,14,8,11,9,14,9,13,13,14,12,9,9,7,9,13,10,7,12,8,8,20,13,13,8,8,9,9,6,11,14,9,9,9,8,9,6,7,16,9,10,13,6,9,9,7,9,5,3,9,7,2,3,6,6,1,1,8,2,5,3,2,2,7,1,1,1,0,0,0,0,1,0,1
441,鷺ケ森２丁目,4,3,3,5,4,6,6,6,8,6,3,3,2,6,2,5,6,2,4,5,6,3,5,5,4,10,5,8,10,7,7,4,5,11,6,11,9,12,8,9,3,13,10,10,8,17,10,3,8,7,10,9,3,2,7,4,4,7,6,5,6,2,8,7,8,7,3,9,6,5,3,10,8,4,4,10,5,3,8,4,3,0,4,5,4,2,2,4,2,0,0,3,3,2,1,1,0,0,1,0,0
470,作並,1,0,1,1,2,1,1,0,0,0,1,3,1,0,0,0,2,1,5,5,2,4,3,4,4,3,0,4,1,4,1,3,4,3,2,4,2,2,3,3,4,3,3,10,4,3,6,5,8,3,7,12,4,0,9,6,6,5,6,4,8,3,11,5,12,7,6,8,8,8,8,9,8,5,6,5,8,12,6,8,3,2,5,7,4,3,2,2,3,4,0,2,0,3,0,1,0,2,0,0,1
471,桜ケ丘１丁目,0,1,2,4,5,8,11,6,8,9,7,9,12,17,12,14,9,15,3,7,10,3,4,4,8,1,3,7,4,8,5,6,5,7,10,7,8,8,6,10,7,8,14,16,14,13,5,15,17,13,14,18,11,9,8,12,12,7,9,6,9,10,10,10,9,5,8,7,8,13,5,11,10,6,11,8,9,7,6,8,6,6,4,6,5,8,5,4,4,4,6,5,1,0,2,1,0,0,0,0,0
472,桜ケ丘２丁目,1,0,4,3,5,3,3,1,5,2,5,5,8,8,7,4,9,2,3,5,4,2,0,2,2,2,2,2,0,0,3,3,4,3,3,4,3,4,3,4,4,7,8,9,2,7,6,4,6,5,6,6,8,8,2,8,8,3,3,5,5,2,5,4,4,5,3,6,7,9,12,4,4,5,5,1,7,6,4,4,3,1,1,4,3,1,5,3,3,3,2,1,0,0,0,0,0,0,0,0,0
473,桜ケ丘３丁目,2,4,6,7,6,5,6,1,2,6,6,5,6,3,7,6,5,6,2,3,3,7,3,10,5,2,3,4,1,1,7,5,5,4,7,6,6,6,6,1,3,5,4,9,7,10,9,7,10,14,8,10,6,9,11,6,6,4,5,12,3,4,7,4,8,5,6,4,6,7,9,5,4,5,4,1,13,4,9,6,5,6,4,6,4,8,2,5,2,8,5,3,1,2,1,0,0,0,0,1,0
474,桜ケ丘４丁目,3,1,0,2,2,2,6,1,3,2,4,0,2,3,2,4,5,1,2,4,5,3,1,3,0,2,2,2,3,0,4,2,3,1,2,5,9,4,1,1,3,11,4,2,0,5,8,1,6,3,3,5,5,2,7,7,7,7,10,8,5,4,7,6,3,5,2,7,8,4,6,5,5,8,6,3,1,6,6,5,7,3,1,6,6,3,7,6,4,4,2,3,1,0,1,2,1,0,0,1,1
475,桜ケ丘５丁目,5,2,5,3,7,2,4,10,3,4,2,6,5,5,6,5,5,13,4,7,2,5,8,4,4,4,6,6,2,4,5,8,7,6,8,2,8,9,8,5,5,9,8,10,8,15,10,12,7,14,14,7,9,7,10,8,7,10,6,4,7,8,7,9,5,4,7,2,7,6,2,6,13,8,4,7,6,5,9,9,10,10,9,4,5,5,6,8,4,5,2,5,2,0,0,0,0,0,0,0,0
476,桜ケ丘６丁目,2,4,2,7,5,4,4,2,3,8,6,4,4,3,8,4,4,4,3,8,3,1,5,4,2,0,4,3,6,2,5,7,3,7,3,2,9,5,5,3,9,8,8,9,11,10,15,7,9,13,13,9,10,5,7,9,4,7,12,6,6,5,6,4,4,5,8,3,7,6,4,11,13,6,6,4,13,9,15,8,3,3,9,10,3,10,8,5,3,8,2,2,0,3,1,0,0,0,0,0,1
477,桜ケ丘７丁目,3,4,5,4,5,11,6,5,6,6,3,6,4,6,4,6,7,5,4,8,6,1,4,7,4,7,5,5,5,11,1,4,4,7,10,9,8,3,9,14,10,6,6,8,11,10,13,8,16,14,9,6,8,7,4,7,3,8,4,9,8,9,7,9,4,4,8,4,7,15,14,15,13,8,5,15,13,9,11,14,11,10,5,10,10,6,5,6,3,0,4,2,1,1,1,0,0,1,0,1,0
478,桜ケ丘９丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,桜ケ岡公園,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,3,0,1,0,1,0,2,1,1,0,2,1,0,1,4,1,2,2,1,4,0,1,0,3,1,1,1,2,0,1,0,1,1,1,3,2,1,4,2,2,0,2,1,1,4,2,1,1,1,1,2,2,4,4,2,3,6,5,4,1,2,3,2,2,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0
480,三条町,7,8,5,9,2,5,5,4,2,2,2,2,4,4,3,3,2,3,3,26,21,24,44,42,30,31,23,21,19,20,19,25,19,12,13,13,8,10,12,6,11,4,6,6,10,2,4,9,8,5,9,9,7,5,6,7,7,4,1,4,2,5,1,5,1,2,2,6,3,7,6,5,5,0,3,6,3,3,6,3,5,2,2,2,1,2,2,2,4,2,1,0,1,1,0,0,0,0,0,0,0
481,子平町,7,6,3,4,5,4,5,3,8,11,9,5,6,8,2,11,7,4,7,15,13,24,21,14,16,26,17,17,18,13,14,9,16,11,12,17,9,11,14,15,9,14,12,8,12,16,13,12,8,16,12,10,12,9,4,9,12,8,9,5,5,8,11,9,11,5,9,12,4,6,9,11,18,8,1,6,11,4,6,2,2,6,4,3,3,6,4,5,2,3,1,0,0,3,2,2,0,1,0,0,0
501,下愛子,11,16,16,12,14,17,17,17,14,16,27,15,15,20,14,18,10,15,11,19,16,13,16,11,12,16,16,17,11,15,16,20,19,23,16,22,20,20,29,21,19,24,21,21,23,21,21,22,17,19,14,18,8,19,14,14,11,12,9,13,12,14,11,12,20,10,6,12,6,15,8,10,20,10,3,7,8,9,10,4,5,9,7,1,1,3,3,2,2,2,1,2,1,0,0,0,0,0,0,0,0
502,昭和町,13,13,18,12,12,5,12,11,12,14,10,17,8,18,13,10,18,12,11,20,10,14,9,11,12,9,11,10,13,22,17,13,10,18,19,13,22,22,19,22,13,16,20,16,33,19,31,29,26,33,23,20,21,24,23,28,22,22,23,20,16,13,15,14,19,18,12,14,14,16,21,12,12,17,6,9,12,4,6,3,8,5,4,11,3,2,3,1,2,2,2,2,1,0,0,0,0,0,0,0,0
503,西花苑１丁目,0,0,1,0,1,4,1,1,5,0,3,5,3,2,2,1,5,3,1,3,5,2,2,6,4,4,3,3,1,4,1,2,1,3,1,2,3,1,3,5,4,4,4,4,5,4,4,5,12,7,4,11,3,6,6,7,5,7,2,4,3,4,1,6,3,6,5,7,8,8,3,6,7,3,2,5,8,3,7,4,2,3,6,3,2,1,2,0,0,0,2,2,2,0,1,0,0,0,0,0,0
504,西花苑２丁目,1,1,1,1,0,3,0,3,6,1,3,3,2,3,2,0,1,2,3,3,3,2,2,4,5,3,2,2,2,0,3,1,2,0,5,7,4,1,6,3,1,3,3,3,2,8,5,8,7,8,6,3,4,6,6,4,6,2,2,6,2,6,4,5,7,5,7,6,9,12,8,10,15,8,4,11,11,6,8,6,5,2,3,2,8,2,1,1,0,0,4,2,0,1,0,0,0,0,0,0,0
505,星陵町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,5,4,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,高野原１丁目,3,8,18,9,10,13,13,8,10,6,17,7,8,4,0,13,5,3,13,2,5,0,2,1,0,2,2,1,3,2,6,8,7,10,7,8,6,10,10,13,14,7,16,14,4,3,8,9,7,6,9,6,6,2,6,4,3,4,3,4,2,1,3,1,5,1,2,4,3,7,0,2,1,1,2,0,1,2,1,1,2,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
507,高野原２丁目,1,3,1,2,2,5,2,2,9,3,4,8,6,9,12,12,5,13,7,11,5,3,6,2,6,4,1,1,2,2,2,1,3,1,5,3,3,5,5,2,7,7,4,4,9,9,14,7,10,10,7,6,7,8,7,8,6,1,2,3,6,1,2,2,4,0,3,1,1,3,3,2,2,1,1,3,1,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
508,高野原３丁目,3,5,7,5,7,4,3,10,4,9,2,12,6,5,9,10,9,9,6,6,6,4,1,2,2,1,1,0,3,1,3,0,6,2,2,6,6,7,5,9,9,10,6,5,13,12,12,6,10,7,5,5,8,2,8,6,6,6,4,4,4,2,2,2,2,1,2,2,4,2,1,9,3,3,2,2,5,0,1,1,0,0,3,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
509,高野原４丁目,3,1,6,3,6,1,8,1,2,3,6,4,7,1,3,8,12,7,3,8,5,7,3,2,7,4,1,2,1,1,0,4,1,0,3,2,4,4,7,6,8,7,6,5,5,7,7,4,9,6,9,5,9,9,4,4,8,5,3,1,4,4,1,2,2,0,1,0,1,5,6,1,0,4,3,0,1,2,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
510,高松１丁目,4,5,8,0,4,7,3,6,5,4,7,3,7,10,6,3,7,11,5,18,10,22,18,12,28,15,12,12,9,14,14,20,16,15,11,12,8,24,11,12,10,16,8,11,9,14,13,15,9,13,11,11,18,11,11,14,14,16,7,14,7,11,8,5,10,10,8,8,8,14,12,8,11,8,5,5,9,2,5,4,5,2,4,0,3,4,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0
511,高松２丁目,7,12,3,6,6,7,8,7,4,7,5,1,4,7,5,10,4,7,6,6,1,2,4,7,10,8,9,11,15,9,8,10,16,8,9,11,15,7,13,5,15,12,9,8,11,15,13,15,13,11,12,9,8,7,11,10,10,11,11,8,8,8,9,9,4,5,9,8,5,12,5,6,5,4,5,3,5,2,2,4,4,2,1,2,4,4,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0
512,高松３丁目,4,6,4,1,7,5,11,7,6,4,10,2,9,4,8,6,5,5,4,5,12,5,3,5,1,11,6,6,6,2,3,5,8,11,7,5,13,11,10,12,10,13,12,4,12,12,9,8,7,3,7,6,8,7,8,8,9,1,11,8,6,8,3,2,11,7,1,5,13,8,15,6,10,4,4,1,5,5,2,5,1,7,2,4,4,5,3,3,0,0,2,2,1,0,0,0,0,0,0,0,0
513,滝道,6,6,4,8,6,12,14,2,9,9,10,2,11,9,2,10,3,6,5,5,5,9,6,5,7,9,3,7,5,6,5,10,6,5,11,9,8,4,9,9,14,7,6,15,10,13,12,14,15,15,9,9,12,11,9,13,9,10,8,12,5,10,11,8,9,8,8,8,5,8,9,11,7,8,4,5,11,6,8,6,4,6,12,2,7,5,6,8,5,2,3,4,0,3,0,0,0,0,0,0,0
514,立町,4,8,9,6,7,5,2,5,5,1,8,6,4,9,5,4,4,8,7,12,18,29,30,29,26,29,18,18,19,20,21,18,19,11,18,17,24,12,15,21,16,23,18,22,22,23,18,19,12,16,19,19,25,17,13,14,20,10,7,15,6,22,7,13,15,13,8,21,17,15,14,15,15,7,4,7,9,4,5,3,6,4,2,5,3,3,4,4,3,3,4,3,0,4,1,2,0,0,1,0,0
515,台原１丁目,5,6,9,4,9,3,10,1,9,6,7,6,8,6,9,7,5,3,3,5,9,10,6,9,9,9,10,8,11,10,11,9,9,12,11,10,14,13,11,11,6,10,11,8,11,8,15,16,8,15,12,12,14,6,13,10,9,9,8,8,10,7,6,6,13,6,10,10,4,9,7,4,6,7,4,7,5,3,3,5,4,1,5,4,4,1,0,0,1,1,0,1,2,1,2,0,1,1,0,0,1
516,台原２丁目,4,2,4,0,3,1,2,1,1,2,3,3,4,2,3,3,4,6,3,5,2,3,6,8,8,5,11,11,7,7,4,8,6,7,1,10,5,10,6,2,7,3,6,5,11,6,5,7,11,9,8,4,5,5,6,9,5,5,7,3,6,11,5,11,5,6,8,9,4,9,8,6,5,1,3,2,7,3,7,2,0,2,4,2,3,2,3,0,1,3,2,2,1,1,0,1,0,1,0,0,0
517,台原３丁目,13,7,7,6,5,7,7,7,5,6,6,3,10,6,7,8,3,7,12,7,9,13,27,22,21,27,14,20,28,18,18,17,15,22,21,11,19,22,13,13,23,15,14,18,16,14,16,14,12,16,18,12,20,12,13,11,17,17,20,17,14,21,11,8,10,7,18,18,11,16,10,12,13,8,3,9,6,7,5,6,4,1,5,6,6,6,3,4,4,2,4,4,1,2,0,0,1,0,0,0,0
518,台原４丁目,3,3,1,4,2,6,1,3,4,4,6,2,3,3,4,2,3,2,6,5,4,5,7,5,5,11,12,7,10,13,7,12,11,7,4,7,5,12,7,17,9,13,5,8,10,6,11,9,8,6,4,8,7,5,7,3,10,3,6,7,8,9,11,5,9,7,6,10,5,6,8,9,11,4,2,3,5,3,7,5,3,2,3,2,2,5,0,2,0,2,1,2,2,0,0,0,1,0,0,0,1
519,台原５丁目,5,3,8,6,4,8,6,9,15,5,10,8,10,9,5,11,10,12,10,12,8,11,12,13,7,8,16,7,8,12,7,13,9,15,7,16,12,20,12,9,8,10,13,14,10,21,14,16,15,15,20,18,19,13,9,15,10,9,24,11,10,13,8,5,15,5,16,14,8,6,12,8,13,7,3,4,9,5,4,4,3,1,3,4,5,3,2,2,2,1,1,0,2,1,0,0,0,0,0,0,0
520,台原６丁目,5,0,4,6,3,5,4,6,9,7,5,2,6,6,9,5,5,3,7,9,9,4,10,5,8,9,10,9,9,15,10,9,13,7,6,11,8,7,6,10,6,4,1,12,8,13,9,7,12,12,7,5,10,7,11,7,13,6,6,7,6,8,8,3,6,3,2,1,8,7,6,3,7,4,4,2,5,0,4,1,3,0,3,1,1,0,1,1,3,0,1,0,2,0,2,0,0,1,0,1,0
521,台原７丁目,4,3,3,7,5,4,6,1,4,4,0,5,4,6,2,2,3,3,3,3,5,4,12,4,10,8,6,9,8,10,6,11,4,6,9,8,10,5,3,4,7,7,8,6,8,2,6,7,7,6,6,6,6,0,4,8,3,9,4,1,2,5,7,4,4,0,4,7,2,6,0,4,5,4,2,2,4,1,1,2,2,0,3,3,2,2,1,2,1,1,0,2,0,2,0,0,1,0,0,0,0
522,台原森林公園,0,1,1,0,0,2,1,0,1,1,0,6,1,5,1,0,2,2,2,2,1,2,2,1,0,0,1,1,1,0,2,0,0,2,0,0,0,0,1,0,3,0,1,5,1,2,3,4,6,5,4,0,6,3,4,5,2,1,4,8,4,1,2,3,1,4,2,3,2,0,3,2,1,1,0,1,1,2,1,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
523,中央１丁目,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,中央２丁目,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,2,1,0,0,1,0,1,0,2,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
525,中央３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,3,1,2,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,中央４丁目,2,4,7,2,3,3,2,1,1,2,2,2,1,2,2,0,0,3,2,4,4,3,3,2,4,2,6,2,6,1,6,5,6,6,8,14,6,8,4,8,4,3,5,3,4,3,7,6,2,6,0,7,8,4,3,3,5,5,3,3,2,2,5,1,3,3,2,2,2,2,0,2,2,1,4,1,1,2,1,2,4,1,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
527,千代田町,2,1,3,0,1,1,0,3,1,2,1,2,1,3,1,2,2,2,4,3,15,14,8,9,6,4,5,6,6,5,3,4,5,3,1,9,4,5,7,3,7,4,4,4,3,0,4,2,3,0,4,5,7,3,1,1,5,7,3,2,4,5,5,3,4,6,10,2,9,6,4,5,5,1,3,1,5,1,2,2,3,1,4,4,0,2,0,1,2,1,1,0,1,2,0,0,0,0,0,0,1
528,土樋１丁目,2,7,5,5,2,7,3,7,7,3,4,4,6,2,3,5,5,8,7,7,10,14,14,10,15,17,13,11,17,10,13,18,9,11,8,13,12,5,16,7,14,5,15,13,16,9,14,10,8,10,6,6,9,7,13,14,11,10,12,7,8,6,12,10,7,6,6,11,9,8,11,7,14,5,4,3,6,4,3,1,1,3,2,5,3,0,1,3,1,0,2,3,0,0,0,0,0,0,0,0,0
529,堤通雨宮町,18,7,20,17,14,15,10,13,11,16,13,13,17,11,14,6,11,13,10,11,16,11,5,10,8,7,13,9,10,21,13,15,19,16,20,14,17,26,7,30,21,20,25,24,19,20,20,27,16,11,21,14,18,12,20,13,8,20,16,15,25,19,10,6,17,12,13,17,11,5,12,9,4,11,5,2,8,4,5,8,5,4,5,6,7,2,3,2,7,5,3,1,2,1,0,0,1,0,0,0,0
530,堤町１丁目,1,4,3,2,6,10,4,3,6,11,3,3,7,9,2,4,1,9,6,10,8,2,6,5,4,7,12,9,10,11,6,6,5,12,7,10,8,6,12,12,9,11,16,6,11,12,6,10,14,20,12,10,13,12,10,10,11,5,7,8,7,6,7,12,5,13,6,8,13,3,5,5,8,8,1,3,6,7,6,1,4,4,7,3,1,1,3,1,2,1,2,1,0,0,0,1,0,0,1,0,0
531,堤町２丁目,5,0,2,6,2,5,0,7,4,10,3,3,2,5,1,5,1,3,5,2,9,9,11,12,10,18,10,14,15,9,1,9,10,4,10,8,6,9,8,5,7,8,14,6,5,10,5,7,13,6,1,5,9,8,7,8,3,2,9,3,4,8,4,10,5,2,6,4,8,10,6,6,11,2,3,6,4,3,4,3,7,7,3,2,1,5,3,0,5,2,2,3,1,1,0,1,0,0,0,0,0
532,堤町３丁目,4,8,2,0,7,2,2,5,5,2,5,2,1,4,0,2,3,6,2,2,6,3,8,2,7,8,7,9,8,7,11,8,11,8,9,6,10,5,9,6,11,1,7,12,5,5,10,1,10,4,3,5,5,5,5,8,7,2,5,3,3,4,4,6,4,1,6,6,6,9,6,3,9,7,5,6,6,4,4,5,8,3,1,5,0,3,2,2,1,0,4,1,0,4,1,1,0,0,0,0,0
533,角五郎１丁目,2,3,6,5,9,5,2,6,8,6,13,10,10,7,2,10,4,11,7,19,18,18,19,12,5,7,8,7,8,3,8,3,10,5,11,7,7,8,5,9,5,7,13,6,8,8,13,11,11,5,11,6,12,8,3,4,5,7,8,7,7,8,7,7,6,4,4,8,4,2,6,4,3,6,3,2,1,4,1,2,5,2,0,0,1,1,0,3,2,1,0,0,1,0,1,1,0,0,0,0,0
534,角五郎２丁目,5,2,8,1,5,5,9,4,9,7,11,9,4,4,7,4,9,3,3,15,20,31,16,24,6,4,4,2,7,9,7,8,4,4,4,7,3,9,8,8,9,9,10,8,9,12,7,9,11,10,15,9,8,6,8,10,10,10,4,6,3,3,11,8,7,6,6,8,7,5,4,6,4,1,2,1,3,4,5,3,2,2,1,1,1,3,2,1,0,1,0,0,0,0,2,1,0,0,0,0,0
535,東照宮１丁目,8,8,10,8,10,8,10,6,6,4,4,8,4,6,6,3,10,7,8,6,3,6,6,8,7,0,4,3,3,7,12,10,13,14,19,10,14,12,7,9,15,11,14,12,14,16,13,12,6,13,13,16,12,13,9,11,8,18,3,7,13,7,9,15,9,15,14,13,9,21,15,16,9,12,8,6,6,5,4,7,7,8,6,5,6,2,1,0,2,3,2,0,1,0,0,1,1,0,1,0,0
536,東照宮２丁目,3,2,4,3,0,0,0,1,0,1,2,1,0,0,1,1,1,0,1,1,1,5,1,1,1,2,3,4,3,3,3,2,3,2,4,1,1,1,0,1,2,2,1,1,2,1,0,1,0,2,0,1,4,1,2,1,2,1,1,6,2,2,3,1,2,0,2,1,1,3,1,1,4,1,0,1,3,1,0,1,0,1,1,0,2,1,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0
537,通町１丁目,5,9,6,10,6,3,7,6,4,9,6,3,6,7,1,6,6,9,7,5,9,11,5,5,6,10,8,9,8,8,7,12,13,12,5,9,11,12,14,14,7,11,12,14,14,10,11,9,9,8,14,5,9,10,15,13,8,5,6,8,10,7,7,10,4,11,11,8,9,5,9,7,6,2,5,7,4,3,9,4,0,2,1,7,5,2,0,2,0,3,1,3,1,2,1,0,0,0,0,1,0
538,通町２丁目,11,3,3,5,4,5,3,0,2,5,1,3,5,4,3,2,4,9,3,2,6,6,14,21,17,17,17,7,13,10,14,11,11,9,15,14,12,12,8,11,11,6,11,10,6,14,8,12,11,4,8,7,11,6,5,13,7,9,4,4,7,0,3,5,6,8,4,6,3,6,4,7,7,8,5,3,4,1,0,4,4,4,2,2,2,3,0,2,1,0,2,1,2,0,1,0,0,0,0,0,0
539,中江１丁目,3,3,9,2,5,9,6,3,7,7,10,10,7,5,4,4,4,2,5,4,4,8,10,5,6,3,8,2,5,7,4,7,9,6,3,3,7,8,8,9,8,12,6,12,4,5,10,11,11,10,11,2,7,8,2,4,6,8,4,4,7,7,4,4,6,6,9,5,7,6,14,7,15,8,9,9,10,14,8,6,3,4,5,0,1,7,1,5,3,3,1,0,0,0,1,3,0,0,0,0,0
